Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,NBA,2,31,POR,James White\whiteja02,23.256,G-F,us,Cincinnati,2007,2013,2006,67,8.7,2.7,1,0.5,0.3,0.1,0.438,0.482,0.34,0.676,0.8,0.062
2,NBA,2,32,HOU,Steve Novak\novakst01,23.021,F,us,Marquette,2007,2017,2006,467,12.1,4.7,1.3,0.3,0.2,0.1,0.437,0.463,0.43,0.877,14.5,0.123
3,NBA,2,33,ATL,Solomon Jones\jonesso01,21.352,F,us,South Florida,2007,2014,2006,281,11,3,2.3,0.4,0.2,0.5,0.467,0.472,0.111,0.717,5,0.078
4,NBA,2,34,LAC,Paul Davis\davispa01,21.347,C,us,Michigan State,2007,2010,2006,82,8.6,2.6,1.9,0.4,0.3,0.2,0.402,0.404,0,0.732,0.5,0.035
5,NBA,2,35,TOR,P.J. Tucker\tuckepj01,21.059,F,us,Texas,2007,2021,2006,687,29.4,7.2,5.7,1.4,1.2,0.3,0.42,0.474,0.358,0.749,34.7,0.083
6,NBA,2,36,MIN,Craig Smith\smithcr01,22.236,F,us,Boston College,2007,2012,2006,403,16.9,7.6,3.9,0.8,0.5,0.2,0.553,0.56,0.037,0.661,16,0.113
7,NBA,2,37,MIN,Bobby Jones\jonesbo02,22.176,F,us,Washington,2007,2008,2006,91,9.5,3.2,1.6,0.5,0.3,0,0.442,0.491,0.306,0.685,1.1,0.06
8,NBA,2,38,GSW,Kosta Perović\perovko01,21.134,C,hr,,2008,2008,2006,7,5.4,1.4,1.9,0.1,0,0.3,0.3,0.3,,0.667,0,0.06
9,NBA,2,39,MIL,David Noel\noelda01,22.127,F,us,UNC,2007,2007,2006,68,11.6,2.7,1.8,1,0.4,0.1,0.367,0.387,0.321,0.86,0.4,0.024
10,NBA,2,40,SEA,Denham Brown,,,,UConn,,,2006,,,,,,,,,,,,,
11,NBA,2,41,ORL,James Augustine\augusja01,22.127,F,us,Illinois,2007,2008,2006,27,5.8,1.6,1.2,0.1,0.2,0.1,0.514,0.514,,0.5,0.3,0.101
12,NBA,2,42,CLE,Daniel Gibson\gibsoda01,20.126,G,us,Texas,2007,2013,2006,397,23.5,7.8,2,2,0.6,0.2,0.402,0.397,0.407,0.78,16,0.082
13,NBA,2,43,NOK,Marcus Vinicius\vincima01,22.033,F,br,,2007,2008,2006,26,6.6,1.9,0.7,0.3,0.1,0.1,0.457,0.5,0.421,0.556,0.2,0.056
14,NBA,2,44,ORL,Lior Eliyahu\eliyali01,20.297,F,il,,,,2006,,,,,,,,,,,,,
15,NBA,2,45,IND,Alexander Johnson\johnsal01,23.146,F,us,Florida State,2007,2008,2006,102,12.8,4.3,2.7,0.3,0.4,0.4,0.517,0.517,,0.672,1.5,0.056
16,NBA,2,46,UTA,Dee Brown\brownde03,21.32,G,us,Illinois,2007,2009,2006,68,10.5,2.1,1,1.8,0.5,0.1,0.34,0.389,0.25,0.643,0.1,0.008
17,NBA,2,47,UTA,Paul Millsap\millspa01,21.143,F,us,Louisiana Tech,2007,2021,2006,1028,28.9,13.8,7.3,2.2,1.3,1,0.491,0.514,0.346,0.736,94,0.152
18,NBA,2,48,WAS,Vladimir Veremeenko\veremvl01,21.347,F,by,,,,2006,,,,,,,,,,,,,
19,NBA,2,49,DEN,Leon Powe\powele01,22.163,F,us,California,2007,2011,2006,239,13.9,6.2,3.8,0.3,0.3,0.3,0.515,0.517,0,0.682,12,0.174
20,NBA,2,50,CHA,Ryan Hollins\holliry01,21.266,C,us,UCLA,2007,2016,2006,518,11.8,3.7,2.2,0.3,0.2,0.5,0.584,0.584,0,0.649,10.4,0.081
21,NBA,2,51,LAL,Cheikh Samb\sambch01,21.254,C,sn,,2008,2009,2006,22,5.2,1,1.4,0,0.2,0.5,0.25,0.273,0,0.444,-0.1,-0.056
22,NBA,2,52,LAC,Guillermo Díaz\diazgu01,21.121,G,pr,Miami (FL),2008,2008,2006,6,3,0.8,0.3,0.2,0,0,0.25,0.333,0,0.6,0,0.033
23,NBA,2,53,SEA,Yotam Halperin\halpeyo01,22.161,G,il,,,,2006,,,,,,,,,,,,,
24,NBA,2,54,NJN,Hassan Adams\adamsha01,22.013,G,us,Arizona,2007,2009,2006,73,7.5,2.5,1.2,0.2,0.2,0.1,0.534,0.537,0,0.643,0.8,0.072
25,NBA,2,55,CLE,Ejike Ugboaja\ugboaej01,21.036,F,ng,,,,2006,,,,,,,,,,,,,
26,NBA,2,56,TOR,Edin Bavčić\bavcied01,22.028,C-F,ba,,,,2006,,,,,,,,,,,,,
27,NBA,2,57,MIN,Loukas Mavrokefalidis,,,,,,,2006,,,,,,,,,,,,,
28,NBA,2,58,DAL,J.R. Pinnock,,,,George Washington,,,2006,,,,,,,,,,,,,
29,NBA,2,59,SAS,Damir Markota\markoda01,20.189,C,ba,,2007,2007,2006,30,5.7,1.7,1,0.2,0.1,0,0.365,0.361,0.375,0.636,-0.2,-0.07
30,NBA,2,60,DET,Will Blalock\blalowi01,22.299,G,us,Iowa State,2007,2007,2006,14,11.9,1.8,1.1,1.2,0.4,0,0.3,0.32,0.2,1,-0.1,-0.032
31,NBA,2,31,SEA,Carl Landry\landrca01,23.288,F,us,Purdue,2008,2016,2007,513,22.5,10.8,4.9,0.7,0.4,0.4,0.535,0.537,0.3,0.785,35.9,0.149
32,NBA,2,32,BOS,Gabe Pruitt\pruitga01,21.075,G,us,USC,2008,2009,2007,62,7.4,2,0.8,0.8,0.3,0,0.321,0.35,0.283,0.783,0.4,0.043
33,NBA,2,33,SAS,Marcus Williams\willima04,20.227,F,us,Arizona,2008,2009,2007,13,3,1.1,0.9,0.2,0.1,0.1,0.318,0.318,,,-0.1,-0.084
34,NBA,2,34,DAL,Nick Fazekas\fazekni01,22.016,F,us,Nevada,2008,2008,2007,26,10.3,4.1,3.4,0.4,0.3,0.4,0.561,0.575,0,0.682,0.8,0.148
35,NBA,2,35,SEA,Glen Davis\davisgl01,21.183,F-C,us,LSU,2008,2015,2007,514,21.1,8,4.4,0.9,0.7,0.3,0.447,0.451,0.182,0.7,18.6,0.082
